dataset,x,y
line,0.0,21.218868319017727
line,0.7092198581560284,16.230134497023833
line,1.4184397163120568,23.78194662719746
line,2.127659574468085,24.932471631522304
line,2.8368794326241136,13.756142933327915
line,3.546099290780142,16.741636582479806
line,4.25531914893617,22.851787144584033
line,4.964539007092199,21.46552608452638
line,5.673758865248227,23.05336274586937
line,6.382978723404255,20.09846258757802
line,7.092198581560284,27.418301119309472
line,7.801418439716312,27.401947883559764
line,8.51063829787234,24.944973854074654
line,9.21985815602837,29.579886813687732
line,9.929078014184398,27.331030276809603
line,10.638297872340425,22.413893978254283
line,11.347517730496454,27.716137888103045
line,12.056737588652483,22.79567527044287
line,12.76595744680851,30.53507780097377
line,13.47517730496454,27.211643873785487
line,14.184397163120568,27.061968985535273
line,14.893617021276595,25.467771184086363
line,15.602836879432624,33.471725638384065
line,16.31205673758865,28.35351327739855
line,17.02127659574468,27.64839083900715
line,17.73049645390071,28.343238847692476
line,18.43971631205674,32.271080713844604
line,19.148936170212767,31.993691151073335
line,19.858156028368796,32.57291626198679
line,20.56737588652482,33.03534074962019
line,21.27659574468085,40.26871806305631
line,21.98581560283688,30.46653851602182
line,22.69503546099291,30.43329858725995
line,23.404255319148938,29.617249512540404
line,24.113475177304966,35.72632903781972
line,24.822695035460995,38.16837144038712
line,25.53191489361702,33.58676336086986
line,26.24113475177305,31.071998205625064
line,26.95035460992908,31.524770172696037
line,27.659574468085108,37.81513710874562
line,28.368794326241137,38.5758535642464
line,29.078014184397166,38.16552487463922
line,29.78723404255319,33.72093989424948
line,30.49645390070922,37.70169493765695
line,31.20567375886525,37.6298638039388
line,31.914893617021278,38.42794587627776
line,32.6241134751773,41.428977523140276
line,33.333333333333336,39.227715528432064
line,34.04255319148936,41.43905850760673
line,34.751773049645394,39.38379145526053
line,35.46099290780142,40.66002369405072
line,36.17021276595745,42.41876992463076
line,36.87943262411348,34.45506466383975
line,37.5886524822695,39.395073999819026
line,38.297872340425535,39.18233917006286
line,39.00709219858156,38.898389316246494
line,39.71631205673759,40.74340262629894
line,40.42553191489362,48.213807798129075
line,41.13475177304964,39.16078901240434
line,41.843971631205676,46.887297815529045
line,42.5531914893617,36.67277623268572
line,43.262411347517734,42.45478612119165
line,43.97163120567376,44.83540942354059
line,44.68085106382979,46.919357410543505
line,45.39007092198582,47.80944532626362
line,46.09929078014184,48.52799886987772
line,46.808510638297875,44.34978056207008
line,47.5177304964539,44.285344602391376
line,48.22695035460993,49.956726220064084
line,48.93617021276596,46.149676317494816
line,49.64539007092199,42.202219245655414
line,50.354609929078016,43.16188660497899
line,51.06382978723404,44.407297238972276
line,51.773049645390074,50.4638202811796
line,52.4822695035461,49.43495117123262
line,53.19148936170213,52.017260565207245
line,53.90070921985816,47.936379485575856
line,54.60992907801418,50.669619757214654
line,55.319148936170215,52.92789349076297
line,56.02836879432624,49.57821667799848
line,56.73758865248227,53.032774709094895
line,57.4468085106383,48.94804091658447
line,58.15602836879433,50.533600216576595
line,58.86524822695036,50.84893494882938
line,59.57446808510638,47.982598864452356
line,60.283687943262414,55.10391829193666
line,60.99290780141844,51.66848992996925
line,61.70212765957447,53.986146687676715
line,62.4113475177305,56.24922777037541
line,63.12056737588653,56.50243676085737
line,63.829787234042556,57.76792341461456
line,64.53900709219859,55.102511962671535
line,65.2482269503546,54.193331574518425
line,65.95744680851064,55.957722901055256
line,66.66666666666667,49.91732893083455
line,67.3758865248227,51.26828769896014
line,68.08510638297872,52.15601006122069
line,68.79432624113475,53.84789212221819
line,69.50354609929079,59.82604726150368
line,70.2127659574468,54.9951050551555
line,70.92198581560284,57.49444198242401
line,71.63120567375887,64.59407631171165
line,72.3404255319149,58.3621781583075
line,73.04964539007092,63.12736723840736
line,73.75886524822695,56.83290516648532
line,74.46808510638299,60.13569657704013
line,75.177304964539,57.54742951085413
line,75.88652482269504,60.38145634888002
line,76.59574468085107,65.48889212429768
line,77.30496453900709,55.6084488036845
line,78.01418439716312,64.64549599262315
line,78.72340425531915,64.24881474975464
line,79.43262411347519,61.311343439624174
line,80.1418439716312,58.29378276684336
line,80.85106382978724,64.75660313723847
line,81.56028368794327,62.740185192113586
line,82.26950354609929,66.17893179577344
line,82.97872340425532,65.7257064544342
line,83.68794326241135,72.4354843596099
line,84.39716312056738,65.46101720641997
line,85.1063829787234,62.71452066781042
line,85.81560283687944,67.91568410010895
line,86.52482269503547,68.46863921815657
line,87.23404255319149,73.41547370521707
line,87.94326241134752,71.70923930989944
line,88.65248226950355,70.18634948482499
line,89.36170212765958,75.00214773509103
line,90.0709219858156,64.78395487490718
line,90.78014184397163,67.3700718831854
line,91.48936170212767,66.61284517054813
line,92.19858156028369,69.14998064553296
line,92.90780141843972,65.5925461899166
line,93.61702127659575,74.02996548938529
line,94.32624113475178,70.9905418357184
line,95.0354609929078,66.38627836808865
line,95.74468085106383,68.59725814325495
line,96.45390070921987,74.30370077987172
line,97.16312056737588,76.79222258363426
line,97.87234042553192,81.8167108008097
line,98.58156028368795,85.8753080200577
line,99.29078014184398,76.26756681111819
line,100.0,71.04184751987255
curve,0.0,17.537838017440418
curve,0.7092198581560284,27.204531992354624
curve,1.4184397163120568,24.67168217365696
curve,2.127659574468085,27.294551988646795
curve,2.8368794326241136,27.819182253539662
curve,3.546099290780142,30.66386385770563
curve,4.25531914893617,36.0645659367744
curve,4.964539007092199,34.04220054287175
curve,5.673758865248227,34.07809631391371
curve,6.382978723404255,32.13121005433556
curve,7.092198581560284,30.999180087378118
curve,7.801418439716312,36.24495717564489
curve,8.51063829787234,38.82715265203629
curve,9.21985815602837,46.25339525886957
curve,9.929078014184398,41.55374262687535
curve,10.638297872340425,45.55140358962189
curve,11.347517730496454,41.36020646441582
curve,12.056737588652483,39.93825589404562
curve,12.76595744680851,41.66736068483496
curve,13.47517730496454,43.44858066185687
curve,14.184397163120568,54.360010745279524
curve,14.893617021276595,44.94090035743625
curve,15.602836879432624,51.63774525970464
curve,16.31205673758865,46.41195949416938
curve,17.02127659574468,53.683773992321065
curve,17.73049645390071,52.603552917359664
curve,18.43971631205674,51.522840241854446
curve,19.148936170212767,52.725144648793076
curve,19.858156028368796,51.35468942181425
curve,20.56737588652482,55.96822418549511
curve,21.27659574468085,53.55694668254652
curve,21.98581560283688,51.584078332926
curve,22.69503546099291,52.10711889730551
curve,23.404255319148938,57.8720522797051
curve,24.113475177304966,63.46480038430842
curve,24.822695035460995,59.149830312513835
curve,25.53191489361702,58.80839646069781
curve,26.24113475177305,60.839685286707585
curve,26.95035460992908,65.00785534902957
curve,27.659574468085108,61.78413572172688
curve,28.368794326241137,60.13939163187368
curve,29.078014184397166,65.99287965678046
curve,29.78723404255319,64.14664119690627
curve,30.49645390070922,68.52815638393707
curve,31.20567375886525,64.28323995082896
curve,31.914893617021278,59.827079077072405
curve,32.6241134751773,59.776857017216905
curve,33.333333333333336,70.77824776280937
curve,34.04255319148936,71.4493080671055
curve,34.751773049645394,65.18653110117953
curve,35.46099290780142,64.85395528593804
curve,36.17021276595745,71.67232075394776
curve,36.87943262411348,63.0266529240746
curve,37.5886524822695,64.09570758394885
curve,38.297872340425535,69.78672752971406
curve,39.00709219858156,66.4436896752427
curve,39.71631205673759,68.07849718762054
curve,40.42553191489362,67.77788195113523
curve,41.13475177304964,69.76684365053823
curve,41.843971631205676,73.72881213705162
curve,42.5531914893617,69.31885794826205
curve,43.262411347517734,71.43667396116795
