applicant_id,ability,portfolio_score,interview_score,admitted,data_source
1,0.9086013598921112,0.6485658379660353,0.9604477413290281,True,admitted_students_file
2,0.031085587771152785,-1.454627597036103,-1.1076730006795625,False,applicant_pool
3,0.2785759145118061,-0.8414601530946475,-1.2760331966721985,False,applicant_pool
4,0.013985221865292462,-0.274854104030484,0.3180399438260534,False,applicant_pool
5,0.3365831266054347,0.7796210207358992,0.8085066647843042,False,applicant_pool
6,0.4249658974361492,-0.021346419070559747,0.7182390744451115,False,applicant_pool
7,-1.9369669327054153,1.1368686334505633,-1.3174508479825338,False,applicant_pool
8,0.6665726686095336,1.3152366287442812,1.5342989755986693,True,admitted_students_file
9,-0.9820194198303006,1.1991704686772062,0.28478791431824796,False,applicant_pool
10,-1.4422991355594112,1.2055405644802868,-0.05656854327585022,False,applicant_pool
11,-0.05841124385868244,-1.0369939046587182,-1.190299482269677,False,applicant_pool
12,0.08398100331445427,0.4826354994557758,1.2008279807880284,True,admitted_students_file
13,-0.6935061645722808,-0.6075290409554163,0.5895424216916048,False,applicant_pool
14,0.8310318576679744,-1.6490663313591984,-1.3089632263076263,False,applicant_pool
15,-1.342175166370907,-0.2874711320558362,-0.5549593082623123,False,applicant_pool
16,-0.40694374877255896,1.3247369656272514,-1.4179295149827218,False,applicant_pool
17,-0.5848741349330007,0.4607420101184635,0.3873410835082717,False,applicant_pool
18,-0.04658727033933937,2.017809371605892,-0.027813865755969003,False,applicant_pool
19,0.2788642846472388,0.17723014526811154,-0.07101576408450283,False,applicant_pool
20,-1.0078929496235447,2.4478027535929074,0.01682410935211054,False,applicant_pool
21,0.7242826774562282,0.17752122551705124,0.4352444904680544,False,applicant_pool
22,0.06300236833469973,0.022480296153736364,0.6427193207749634,False,applicant_pool
23,-1.8919462533119105,-1.2793900879214963,-3.3614879064106304,False,applicant_pool
24,-1.958591440397031,1.1105627402927678,-0.8028544377287183,False,applicant_pool
25,-0.012319292929311235,-0.5021251289404789,-0.6937470123866033,False,applicant_pool
26,-0.2209673177863541,-0.647047639408727,0.5425243565335094,False,applicant_pool
27,-0.1034201135746335,1.281230563762572,1.0678094981173596,True,admitted_students_file
28,-0.02798245653021798,1.1582226687959571,-0.08939584131866529,False,applicant_pool
29,0.22555983951018072,1.132051367210679,0.5525412190472789,False,applicant_pool
30,0.9476496098482997,-0.36219113405498116,1.469820976135529,True,admitted_students_file
31,-1.1111049009175582,-0.05097586530525164,-0.2552967763030094,False,applicant_pool
32,-1.1719715929007948,-0.059854397695851456,-1.4434503175716151,False,applicant_pool
33,-1.0933238578873825,0.7825181806723981,-0.38897306705790213,False,applicant_pool
34,0.2889166671687069,1.55356466849423,1.0330364642952052,True,admitted_students_file
35,1.2449473786464456,0.36814655519840694,0.6719237079900904,False,applicant_pool
36,-0.4313394382395105,1.9748910853573585,-0.1938399387985814,False,applicant_pool
37,-2.5016998441596545,0.8971944180330614,-1.5172637277552634,False,applicant_pool
38,-1.7039928626103755,-0.23479939411441825,-0.287775452765354,False,applicant_pool
39,-0.8330367227960116,0.8287114061289749,-0.26961259677639654,False,applicant_pool
40,-0.5577288874952148,1.7059402787087732,0.6740598629661696,False,applicant_pool
41,-0.4083886272547264,1.9982889833413344,1.1318031842537972,True,admitted_students_file
42,0.038581122980917065,1.1868913445990807,2.3492560802254863,True,admitted_students_file
43,-0.3117463308224471,0.025674453657999224,-0.1797343801650182,False,applicant_pool
44,1.0493396105434072,-0.21669325405592046,1.306981879225324,True,admitted_students_file
45,-0.6760173056813688,0.5760695035613909,-0.4836921918138232,False,applicant_pool
46,-0.862317959475543,1.6739744952710462,0.34599726591533314,False,applicant_pool
47,0.4788755385204616,0.4337691222144516,0.6020059356548931,False,applicant_pool
48,-1.5356420699261193,0.4545318718688109,-1.2446146880318196,False,applicant_pool
49,0.3896917053200022,0.05139785431709231,0.14410576734204109,False,applicant_pool
50,0.10255318372626686,-0.3278910626312124,0.47516603378107414,False,applicant_pool
51,-0.1474424899181674,-0.1621345066439178,-0.7614802405296737,False,applicant_pool
52,1.5882761071492624,0.13542598524553,1.1204686817311618,True,admitted_students_file
53,-0.6222074452947179,1.7180999962398222,1.2084436442734705,True,admitted_students_file
54,2.0602981705240784,-0.23971377853080178,0.6062536206267087,False,applicant_pool
55,-0.2254314492280993,0.05261207591138063,0.6544570621746021,False,applicant_pool
56,-1.2770164449702281,-0.8653776604065087,-1.3415377326969529,False,applicant_pool
57,0.0699195809948253,0.7166310664731552,0.39567212651668454,False,applicant_pool
58,-1.0762452003187681,1.3666791787182826,-1.2169213781004657,False,applicant_pool
59,-0.7517558478135002,1.6244978459567558,0.3057535893836848,False,applicant_pool
60,0.39703330001549114,0.20336452469571042,0.6503732773639931,False,applicant_pool
61,0.5555820886501248,0.5743542832792355,1.9562001549158117,True,admitted_students_file
62,-0.6221677002542582,-0.15355032217003803,-0.10669430669766355,False,applicant_pool
63,0.9874051450464006,0.5280186796945225,1.7733768483264443,True,admitted_students_file
64,1.157507758021134,0.3139651524992144,0.11008419030286931,False,applicant_pool
65,1.436301756563291,0.05826438725148733,0.8826922465225377,False,applicant_pool
66,0.5294134071257222,0.13775369227712947,1.2881811242420582,True,admitted_students_file
